endowment_initial,Gini_initial,Average_gini_after,Average_round_reached,Count_games_reached,Proportion_games_reached,Payoff,Payoff_relative_fairness,Proportion_contributed,Average_contribution,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
24,0.1333333333333333,0.29086756189623514,8.777777777777779,27,1.0,6.407407407407407,0.5339506172839507,0.7330246913580246,1.7592592592592595,2.7037037037037037,2.185185185185185,2.4074074074074074,2.4074074074074074,1.8518518518518519,1.8148148148148149,1.6666666666666667,1.037037037037037,1.0,0.5185185185185185
30,0.16666666666666663,0.4050185176752955,8.30952380952381,42,1.0,9.19047619047619,0.6126984126984126,0.6936507936507936,2.0809523809523807,2.630952380952381,2.9166666666666665,2.8452380952380953,2.4523809523809526,2.4166666666666665,2.1666666666666665,1.880952380952381,1.5238095238095237,1.0833333333333333,0.8928571428571429
40,0.0,0.2788104189212426,8.4,5,1.0,16.266666666666666,0.8133333333333332,0.5933333333333334,2.3733333333333335,2.933333333333333,2.7333333333333334,2.6,2.6666666666666665,2.466666666666667,2.533333333333333,2.0,3.0,1.6,1.2
48,0.1333333333333333,0.29086756189623514,8.777777777777779,27,1.0,24.87037037037037,1.0362654320987654,0.4818672839506174,2.312962962962963,2.7777777777777777,2.9074074074074074,2.759259259259259,2.814814814814815,2.7777777777777777,2.3703703703703702,2.3333333333333335,2.0185185185185186,1.3518518518518519,1.0185185185185186
60,0.16666666666666663,0.4050185176752955,8.30952380952381,42,1.0,34.357142857142854,1.1452380952380952,0.4273809523809523,2.5642857142857145,3.119047619047619,3.2142857142857144,2.9523809523809526,3.2142857142857144,3.0238095238095237,2.9285714285714284,2.642857142857143,2.2142857142857144,1.2142857142857142,1.119047619047619
