Unnamed: 0,id,is_robot,nickname,consent,status,pollution_id,num_jugador,partida_id,num_seleccions,bots,acabat,endowment_initial,endowment_current,contributed_public_goods,winnings_public_goods,savings_public_goods,coins_total,tickets,gender,age_range,educational_level,economic_status,working_status,residence,frame_pr1,frame_pr2,frame_pr3,verification_pr1,verification_pr2,verification_pr3,verification_pr4,enquesta_final_pr1,enquesta_final_pr2,enquesta_final_pr3,enquesta_final_pr4,enquesta_final_pr5,enquesta_final_pr6,enquesta_final_pr7,enquesta_final_pr8,enquesta_final_pr9,enquesta_final_pr10,enquesta_final_pr11,date_tutorial,date_register,date_creation,date_end,comment,contributions,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,no2_level,control_wealth
10,1012,0,Lola,1,END,11.0,5.0,1002.0,10,0,1,60,42,18,42,42,42.0,3,F,r5,r4,r3,r3,r11,r1,r3,r1,r2,r2,r1,,r3,r4,r3,r4,r2,r5,r2,r3,r3,r1,"No
",2018-04-23 09:23:20.722004,2018-04-23 09:25:09.894962,2018-04-23 09:22:32.150769,2018-04-23 09:32:20.515659,,[4 4 2 4 0 2 2 0 0 0],4.0,4.0,2.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,46.23,UNEQUAL-H
11,1013,0,participant0081,1,END,2.0,2.0,1002.0,10,0,1,30,18,12,18,18,18.0,2,M,r3,r4,r3,r3,r2,r2,r2,r1,r2,r2,r1,,r2,r4,r2,r5,r1,r5,r3,r4,r2,r1,"transporte publico
",2018-04-23 09:24:01.815166,2018-04-23 09:26:05.311017,2018-04-23 09:23:12.319311,2018-04-23 09:33:01.826708,,[4 4 2 2 0 0 0 0 0 0],4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,52.38,UNEQUAL-H
12,1014,0,0089,1,END,3.0,2.0,1003.0,10,0,1,30,6,24,6,6,6.0,1,M,r4,r4,r2,r3,r3,r2,r2,r1,r2,r2,r1,,r4,r4,r1,r5,r2,r2,r3,r2,r3,r3,"Reduir el trànsit de 


",2018-04-23 09:41:46.389551,2018-04-23 09:45:30.935623,2018-04-23 09:38:06.266579,2018-04-23 09:55:40.967475,,[4 4 2 2 2 2 2 2 2 2],4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,46.89,UNEQUAL-H
13,1015,0,0085,1,END,11.0,3.0,1003.0,10,0,1,30,0,30,0,0,0.0,1,O,r1,r2,r2,r3,r11,r1,r1,r1,r2,r2,r1,,r3,r3,r1,r4,r2,r2,r3,r1,r4,r1,"Tal vez 
",2018-04-23 09:43:06.453205,2018-04-23 09:46:42.071024,2018-04-23 09:38:32.656610,2018-04-23 09:59:31.537497,,[4 4 4 4 4 4 4 2 0 0],4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,46.23,UNEQUAL-H
14,1016,0,0093,1,END,11.0,4.0,1003.0,10,0,1,30,0,30,0,0,0.0,1,F,r2,r4,r2,r4,r11,r2,r3,r1,r2,r2,r1,,r4,r4,r1,r5,r2,r4,r1,r2,r3,r2,No,2018-04-23 09:42:05.740348,2018-04-23 09:44:33.618693,2018-04-23 09:41:19.261628,2018-04-23 09:54:39.357257,,[4 2 2 4 4 4 2 2 4 2],4.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,46.23,UNEQUAL-H
15,1017,0,0097,1,END,11.0,5.0,1003.0,10,0,1,60,36,24,36,36,36.0,3,F,r2,r4,r2,r4,r11,r2,r3,r1,r2,r2,r1,,r1,r4,r3,r5,r1,r3,r2,r2,r4,r2,"Prohibir la circulació dels cotxes més d'un cop per setmana
",2018-04-23 09:42:54.493253,2018-04-23 09:45:41.285951,2018-04-23 09:41:39.979574,2018-04-23 09:56:20.631357,,[2 4 2 4 4 4 4 0 0 0],2.0,4.0,2.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,46.23,UNEQUAL-H
16,1018,0,0101,1,END,2.0,1.0,1003.0,10,0,1,30,8,22,8,8,8.0,1,F,r4,r4,r2,r3,r2,r1,r3,r1,r2,r2,r1,,r4,r4,r1,r5,r3,r2,r3,r3,r3,r3,"No sabe, mo contesta",2018-04-23 09:44:22.694203,2018-04-23 09:46:20.575318,2018-04-23 09:43:16.690597,2018-04-23 09:55:39.576363,,[2 2 4 2 4 4 4 0 0 0],2.0,2.0,4.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,52.38,UNEQUAL-H
17,1019,0,O0119,1,END,10.0,6.0,1003.0,9,1,1,60,32,28,32,32,32.0,3,F,r7,r4,r3,r1,r10,r2,r3,r1,r2,r2,r1,,r3,r4,r1,r4,r4,r4,r3,r3,r3,r4,"D isminuir el transit de vehicles
",2018-04-23 09:45:51.219001,2018-04-23 09:48:45.818306,2018-04-23 09:43:51.784464,2018-04-23 09:56:51.351848,,[4 4 4 2 2 2 2 4 2 2],4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,39.05,UNEQUAL-H
18,1020,0,0165,1,END,7.0,5.0,1004.0,10,0,1,48,22,26,22,22,22.0,2,M,r1,r3,r1,r2,r7,r2,r1,r1,r2,r2,r1,,r1,r5,r3,r3,r2,r5,r3,r2,r3,r1,"No

",2018-04-23 10:01:21.956786,2018-04-23 10:03:45.549295,2018-04-23 10:00:08.154658,2018-04-23 10:11:35.098599,,[4 0 2 2 2 4 2 4 2 4],4.0,0.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,39.53,UNEQUAL-L
19,1021,0,0161,1,END,2.0,1.0,1004.0,10,0,1,24,12,12,12,12,12.0,1,M,r1,r3,r2,r2,r2,r2,r2,r1,r2,r2,r1,,r3,r4,r3,r5,r3,r5,r2,r2,r3,r4,"Los coches más antiguos, que puedan sacar más humo, prohibirlos de circular por la ciudad
",2018-04-23 10:01:11.222620,2018-04-23 10:03:31.651567,2018-04-23 10:00:17.290324,2018-04-23 10:12:41.538291,,[2 0 2 0 0 2 2 0 0 4],2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,52.38,UNEQUAL-L
